# PROXY LIST: SOCKS4 - Generated: 2025-02-27 18:36:29
# Total found: 2504 | Working: 156 | Success rate: 6.2%
# Format: IP:PORT | COUNTRY | ANONYMITY | LATENCY
# ---------------------------------------------------------

# ELITE PROXIES (3)
20.187.167.218:80 | Hong Kong | Elite | 2096ms
13.126.184.76:1080 | India | Elite | 464ms
18.135.133.116:80 | United Kingdom | Elite | 258ms

# ANONYMOUS PROXIES (1)
71.14.218.2:8080 | United States | Anonymous | 426ms

# TRANSPARENT PROXIES (3)
138.204.95.166:8080 | United States | Transparent | 9999ms
98.64.128.182:3128 | United States | Transparent | 771ms
49.229.100.235:8080 | United States | Transparent | 9999ms

# UNKNOWN ANONYMITY PROXIES (149)
3.136.29.104:80 | United States | Unknown | 117ms
51.20.19.159:3128 | Sweden | Unknown | 313ms
54.179.44.51:3128 | Singapore | Unknown | 362ms
46.148.143.137:80 | Russia | Unknown | 363ms
52.67.10.183:3128 | Brazil | Unknown | 328ms
51.16.179.113:1080 | Israel | Unknown | 390ms
3.139.242.184:80 | United States | Unknown | 112ms
162.223.90.130:80 | United States | Unknown | 1278ms
45.239.175.105:8080 | Brazil | Unknown | 1441ms
54.179.39.14:3128 | Singapore | Unknown | 361ms
8.130.34.44:8888 | China | Unknown | 2453ms
47.121.129.129:3128 | China | Unknown | 2408ms
39.102.213.187:8443 | China | Unknown | 2428ms
18.134.236.231:1080 | United Kingdom | Unknown | 256ms
204.236.137.68:80 | United States | Unknown | 36ms
46.51.249.135:3128 | Japan | Unknown | 222ms
103.152.112.120:80 | United States | Unknown | 2120ms
13.36.87.105:3128 | France | Unknown | 270ms
51.16.199.206:3128 | Israel | Unknown | 383ms
119.46.68.228:80 | Thailand | Unknown | 1621ms
3.126.147.182:80 | Germany | Unknown | 276ms
35.79.120.242:3128 | Japan | Unknown | 224ms
18.133.16.21:1080 | United Kingdom | Unknown | 253ms
54.67.125.45:3128 | United States | Unknown | 35ms
18.134.236.231:3128 | United Kingdom | Unknown | 265ms
