# PROXY LIST: SOCKS5 - Generated: 2025-02-27 18:46:13
# Total found: 1901 | Working: 203 | Success rate: 10.7%
# Format: IP:PORT | COUNTRY | ANONYMITY | LATENCY
# ---------------------------------------------------------

# ELITE PROXIES (7)
181.204.81.178:999 | Colombia | Elite | 9999ms
58.240.211.251:7890 | China | Elite | 1311ms
45.140.143.77:18080 | The Netherlands | Elite | 3540ms
91.107.182.7:1080 | Germany | Elite | 6397ms
83.217.23.35:8090 | Russia | Elite | 1169ms
180.210.89.215:3128 | Unknown | Elite | 840ms
216.229.112.25:8080 | United States | Elite | 1560ms

# ANONYMOUS PROXIES (1)
71.14.218.2:8080 | United States | Anonymous | 8070ms

# TRANSPARENT PROXIES (16)
98.64.128.182:3128 | United States | Transparent | 1681ms
200.10.28.89:8083 | United States | Transparent | 9999ms
103.122.142.174:8080 | United States | Transparent | 9999ms
203.190.115.57:8070 | United States | Transparent | 3465ms
186.65.107.2:666 | United States | Transparent | 9999ms
103.39.51.156:8090 | United States | Transparent | 9999ms
101.255.119.206:8080 | United States | Transparent | 9999ms
77.83.246.25:80 | United States | Transparent | 8730ms
103.184.56.122:8080 | United States | Transparent | 9999ms
114.130.154.118:58080 | United States | Transparent | 9999ms
106.12.111.83:9103 | United States | Transparent | 4707ms
47.88.18.204:8023 | United States | Transparent | 9999ms
185.105.102.189:80 | United States | Transparent | 5967ms
191.7.212.84:8080 | United States | Transparent | 9999ms
113.192.48.25:8181 | United States | Transparent | 9999ms
179.1.95.213:999 | United States | Transparent | 9999ms

# UNKNOWN ANONYMITY PROXIES (179)
3.141.217.225:80 | United States | Unknown | 130ms
44.218.183.55:80 | United States | Unknown | 117ms
13.48.109.48:3128 | Sweden | Unknown | 304ms
18.228.198.164:80 | Brazil | Unknown | 330ms
54.179.39.14:3128 | Singapore | Unknown | 363ms
3.136.29.104:80 | United States | Unknown | 1138ms
65.1.244.232:1080 | India | Unknown | 469ms
18.228.149.161:80 | Brazil | Unknown | 328ms
34.238.112.235:8082 | United States | Unknown | 214ms
103.152.112.195:80 | United States | Unknown | 470ms
51.20.50.149:3128 | Sweden | Unknown | 309ms
183.109.79.187:80 | South Korea | Unknown | 1137ms
203.74.125.18:8888 | Taiwan | Unknown | 9999ms
3.10.93.50:80 | United Kingdom | Unknown | 256ms
103.152.112.159:80 | United States | Unknown | 1123ms
13.37.89.201:3128 | France | Unknown | 279ms
104.225.220.233:80 | United States | Unknown | 3173ms
3.9.71.167:1080 | United Kingdom | Unknown | 253ms
219.65.73.81:80 | India | Unknown | 9999ms
54.37.214.253:8080 | France | Unknown | 9999ms
52.67.10.183:80 | Brazil | Unknown | 333ms
201.91.82.155:3128 | Brazil | Unknown | 9999ms
182.160.110.154:9898 | Bangladesh | Unknown | 9999ms
103.155.198.129:1080 | Indonesia | Unknown | 9999ms
204.236.137.68:80 | United States | Unknown | 51ms
3.21.101.158:3128 | United States | Unknown | 114ms
13.59.140.31:8888 | United States | Unknown | 113ms
3.97.176.251:3128 | Canada | Unknown | 148ms
52.16.232.164:3128 | Ireland | Unknown | 232ms
18.135.211.182:3128 | United Kingdom | Unknown | 266ms
35.176.148.8:1080 | United Kingdom | Unknown | 270ms
13.37.89.201:80 | France | Unknown | 265ms
3.123.150.192:80 | Germany | Unknown | 285ms
18.185.169.150:3128 | Germany | Unknown | 285ms
16.16.239.39:3128 | Sweden | Unknown | 300ms
54.179.44.51:3128 | Singapore | Unknown | 363ms
18.133.16.21:80 | United Kingdom | Unknown | 251ms
54.233.119.172:3128 | Brazil | Unknown | 330ms
35.76.62.196:80 | Japan | Unknown | 222ms
13.246.184.110:3128 | South Africa | Unknown | 518ms
3.90.100.12:80 | United States | Unknown | 116ms
15.207.35.241:80 | India | Unknown | 484ms
212.127.95.235:8081 | Poland | Unknown | 2455ms
23.88.116.40:80 | Germany | Unknown | 754ms
79.110.201.235:8081 | Poland | Unknown | 2931ms
83.168.74.163:8080 | Poland | Unknown | 8966ms
13.126.79.133:3128 | India | Unknown | 479ms
222.252.194.204:8080 | Vietnam | Unknown | 10523ms
3.129.184.210:80 | United States | Unknown | 114ms
13.38.176.104:3128 | France | Unknown | 266ms
51.20.19.159:3128 | Sweden | Unknown | 303ms
15.206.25.41:1080 | India | Unknown | 462ms
167.103.19.22:11194 | India | Unknown | 2080ms
104.238.160.36:80 | Japan | Unknown | 2609ms
177.125.208.1:8080 | Brazil | Unknown | 9999ms
35.79.120.242:3128 | Japan | Unknown | 220ms
3.78.92.159:3128 | Germany | Unknown | 281ms
54.248.238.110:80 | Japan | Unknown | 222ms
79.110.202.184:8081 | Poland | Unknown | 9999ms
85.215.64.49:80 | Germany | Unknown | 515ms
63.32.1.88:3128 | Ireland | Unknown | 233ms
103.152.112.186:80 | United States | Unknown | 1805ms
103.86.109.38:80 | Belgium | Unknown | 985ms
45.87.68.4:15321 | Germany | Unknown | 3137ms
200.174.198.86:8888 | Unknown | Unknown | 9999ms
184.169.154.119:80 | United States | Unknown | 34ms
78.130.246.65:1881 | Bulgaria | Unknown | 9999ms
39.109.113.97:4090 | Hong Kong | Unknown | 9999ms
45.87.68.3:15321 | Germany | Unknown | 2308ms
204.236.176.61:3128 | United States | Unknown | 37ms
52.73.224.54:3128 | United States | Unknown | 108ms
3.139.242.184:80 | United States | Unknown | 115ms
52.196.1.182:80 | Japan | Unknown | 326ms
51.17.58.162:3128 | Israel | Unknown | 365ms
18.134.236.231:3128 | United Kingdom | Unknown | 263ms
81.169.213.169:8888 | Germany | Unknown | 9999ms
13.38.153.36:80 | France | Unknown | 277ms
13.55.210.141:3128 | Australia | Unknown | 301ms
31.40.248.2:8080 | Russia | Unknown | 1027ms
51.68.175.56:1080 | Germany | Unknown | 9890ms
46.51.249.135:3128 | Japan | Unknown | 223ms
91.107.130.145:11000 | Germany | Unknown | 9999ms
80.249.112.162:80 | China | Unknown | 461ms
3.97.167.115:3128 | Canada | Unknown | 148ms
45.87.68.7:15321 | Germany | Unknown | 9999ms
167.99.124.118:80 | United States | Unknown | 9999ms
203.189.153.19:8083 | Cambodia | Unknown | 10891ms
45.70.85.33:58080 | Brazil | Unknown | 9999ms
13.56.192.187:80 | United States | Unknown | 35ms
13.36.113.81:3128 | France | Unknown | 265ms
3.127.121.101:80 | Germany | Unknown | 278ms
13.36.87.105:3128 | France | Unknown | 283ms
3.126.147.182:80 | Germany | Unknown | 1308ms
148.66.6.214:80 | Unknown | Unknown | 9999ms
37.187.25.85:80 | France | Unknown | 858ms
43.132.219.102:80 | Unknown | Unknown | 9999ms
3.127.62.252:80 | Germany | Unknown | 317ms
103.49.114.5:8080 | Bangladesh | Unknown | 9999ms
79.110.202.131:8081 | Poland | Unknown | 2400ms
117.74.65.207:443 | China | Unknown | 2423ms
31.220.15.234:80 | Sweden | Unknown | 1556ms
176.9.239.181:80 | Germany | Unknown | 3419ms
